location_type,name,state_name,district_name,sub_district_name,state_lgd_code,district_lgd_code,sub_district_lgd_code,village_lgd_code,source
urban_local_body,Agra,Uttar Pradesh,,Agra,9,,766,,lgd
urban_local_body,Aligarh,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Ayodhya,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Bareilly,Uttar Pradesh,Bareilly,Bareilly,9,130,787,,lgd
urban_local_body,Firozabad,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Ghaziabad,Uttar Pradesh,,Ghaziabad,9,,739,,lgd
urban_local_body,Gorakhpur,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Jhansi,Uttar Pradesh,Jhansi,Jhansi,9,153,860,,lgd
urban_local_body,Kanpur,Uttar Pradesh,,Ghatampur,9,,850,,lgd
urban_local_body,Lucknow,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Mathura-Vrindavan,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Meerut,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Moradabad,Uttar Pradesh,Moradabad,Moradabad,9,171,719,,lgd
urban_local_body,Prayagraj,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Saharanpur,Uttar Pradesh,Saharanpur,Saharanpur,9,177,702,,lgd
urban_local_body,Shahjahanpur,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Varanasi,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Achhnera,Uttar Pradesh,Agra,Kiraoli,9,118,767,,lgd
urban_local_body,Afzalgarh,Uttar Pradesh,Bijnor,Dhampur,9,132,715,,lgd
urban_local_body,Ahraura,Uttar Pradesh,Mirzapur,Chunar,9,170,1003,,lgd
urban_local_body,Akbarpur,Uttar Pradesh,,Akbarpur,9,,910,,lgd
urban_local_body,Aliganj,Uttar Pradesh,Etah,Aliganj,9,138,1007,,lgd
urban_local_body,Amroha,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Anupshahr,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Aonla,Uttar Pradesh,Bareilly,,9,130,,,lgd
urban_local_body,Atarra,Uttar Pradesh,Banda,Atarra,9,128,873,,lgd
urban_local_body,Atrauli,Uttar Pradesh,Aligarh,Atrauli,9,119,754,,lgd
urban_local_body,Auraiya,Uttar Pradesh,Auraiya,Auraiya,9,122,842,,lgd
urban_local_body,Azamgarh,Uttar Pradesh,,Azamgarh,9,,966,,lgd
urban_local_body,Baansi,Uttar Pradesh,Siddharthnagar,Bansi,9,182,934,,lgd
urban_local_body,Bachhraon,Uttar Pradesh,Amroha,,9,154,,,lgd
urban_local_body,Baghpat,Uttar Pradesh,Baghpat,Baghpat,9,124,736,,lgd
urban_local_body,Bah,Uttar Pradesh,Agra,Bah,9,118,770,,lgd
urban_local_body,Bahedi,Uttar Pradesh,Bareilly,Baheri,9,130,784,,lgd
urban_local_body,Bahjoi,Uttar Pradesh,,Chandausi,9,,722,,lgd
urban_local_body,Bahraich,Uttar Pradesh,Bahraich,Bahraich,9,125,921,,lgd
urban_local_body,Ballia,Uttar Pradesh,Ballia,Ballia,9,126,978,,lgd
urban_local_body,Balrampur,Uttar Pradesh,Balrampur,Balrampur,9,127,925,,lgd
urban_local_body,Banda,Uttar Pradesh,,Banda,9,,871,,lgd
urban_local_body,Baraut,Uttar Pradesh,,Baraut,9,,735,,lgd
urban_local_body,Barua Sagar,Uttar Pradesh,Jhansi,Jhansi,9,153,860,,lgd
urban_local_body,Basti,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Belha,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Bhadohi,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Bharwari(Kaushambi),Uttar Pradesh,,,9,,,,lgd
urban_local_body,Bhinga,Uttar Pradesh,,Bhinga,9,,923,,lgd
urban_local_body,Bijnor,Uttar Pradesh,Bijnor,,9,132,,,lgd
urban_local_body,Bilari,Uttar Pradesh,Moradabad,Bilari,9,171,720,,lgd
urban_local_body,Bilariaganj,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Bilaspur,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Bilgram,Uttar Pradesh,Hardoi,Bilgram,9,150,812,,lgd
urban_local_body,Bilhaur,Uttar Pradesh,,Bilhaur,9,,848,,lgd
urban_local_body,Bilsi,Uttar Pradesh,Budaun,Bilsi,9,133,780,,lgd
urban_local_body,Bindki,Uttar Pradesh,Fatehpur,Bindki,9,142,877,,lgd
urban_local_body,Bisalpur,Uttar Pradesh,Pilibhit,Bisalpur,9,173,791,,lgd
urban_local_body,Bisauli,Uttar Pradesh,Budaun,Bisauli,9,133,779,,lgd
urban_local_body,Biswan,Uttar Pradesh,Sitapur,Biswan,9,183,806,,lgd
urban_local_body,Budaun,Uttar Pradesh,Budaun,Budaun,9,133,782,,lgd
urban_local_body,Bulandshahr,Uttar Pradesh,Bulandshahr,Bulandshahr,9,134,746,,lgd
urban_local_body,Chandausi,Uttar Pradesh,Sambhal,Chandausi,9,659,722,,lgd
urban_local_body,Chandpur,Uttar Pradesh,Bijnor,Chandpur,9,132,716,,lgd
urban_local_body,Charkhari,Uttar Pradesh,Mahoba,Charkhari,9,165,869,,lgd
urban_local_body,Chhibramau,Uttar Pradesh,,Chhibramau,9,,833,,lgd
urban_local_body,Chirgaon,Uttar Pradesh,Jhansi,Moth,9,153,856,,lgd
urban_local_body,Chitrakoot Dham - Karwi,Uttar Pradesh,,Karwi,9,,875,,lgd
urban_local_body,Chunar,Uttar Pradesh,Mirzapur,Chunar,9,170,1003,,lgd
urban_local_body,Colonelganj,Uttar Pradesh,,Colonelganj,9,,929,,lgd
urban_local_body,Dadri,Uttar Pradesh,Gautam Buddha Nagar,Dadri,9,144,742,,lgd
urban_local_body,Debai,Uttar Pradesh,Bulandshahr,Debai,9,134,749,,lgd
urban_local_body,Deoband,Uttar Pradesh,Saharanpur,Deoband,9,177,704,,lgd
urban_local_body,Deoria,Uttar Pradesh,,,9,,,,lgd
urban_local_body,Dhampur,Uttar Pradesh,Bijnor,Dhampur,9,132,715,,lgd
urban_local_body,Dhanaura,Uttar Pradesh,Amroha,Dhanaura,9,154,729,,lgd
