state_code,state_name_english,state_census2011_code,district_code,district_name_english,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_census2011_code,last_updated
9,Uttar Pradesh,9,118,Agra,146,766,Agra,766,07-10-2024
9,Uttar Pradesh,9,118,Agra,146,765,Etmadpur,765,07-10-2024
9,Uttar Pradesh,9,118,Agra,146,770,Bah,770,07-10-2024
9,Uttar Pradesh,9,118,Agra,146,769,Fatehabad,769,07-10-2024
9,Uttar Pradesh,9,118,Agra,146,768,Kheragarh,768,07-10-2024
9,Uttar Pradesh,9,118,Agra,146,767,Kiraoli,767,07-10-2024
9,Uttar Pradesh,9,119,Aligarh,143,756,Iglas,756,07-10-2024
9,Uttar Pradesh,9,119,Aligarh,143,754,Atrauli,754,07-10-2024
9,Uttar Pradesh,9,119,Aligarh,143,752,Khair,752,07-10-2024
9,Uttar Pradesh,9,119,Aligarh,143,753,Gabhana,753,07-10-2024
9,Uttar Pradesh,9,119,Aligarh,143,755,Koil,755,07-10-2024
9,Uttar Pradesh,9,121,Ambedkar Nagar,178,910,Akbarpur,910,07-10-2024
9,Uttar Pradesh,9,121,Ambedkar Nagar,178,907,Tanda,907,07-10-2024
9,Uttar Pradesh,9,121,Ambedkar Nagar,178,908,Allapur,908,07-10-2024
9,Uttar Pradesh,9,121,Ambedkar Nagar,178,911,Bhiti,911,07-10-2024
9,Uttar Pradesh,9,121,Ambedkar Nagar,178,909,Jalalpur,909,07-10-2024
9,Uttar Pradesh,9,640,Amethi,0,824,Tiloi,824,07-10-2024
9,Uttar Pradesh,9,640,Amethi,0,913,Gauriganj,913,07-10-2024
9,Uttar Pradesh,9,640,Amethi,0,912,Musafirkhana,912,07-10-2024
9,Uttar Pradesh,9,640,Amethi,0,914,Amethi,914,07-10-2024
9,Uttar Pradesh,9,154,Amroha,137,731,Hasanpur,731,07-10-2024
9,Uttar Pradesh,9,154,Amroha,137,6831,Naugawan Sadat,0,07-10-2024
9,Uttar Pradesh,9,154,Amroha,137,730,Amroha,730,07-10-2024
9,Uttar Pradesh,9,154,Amroha,137,729,Dhanaura,729,07-10-2024
9,Uttar Pradesh,9,122,Auraiya,162,842,Auraiya,842,07-10-2024
9,Uttar Pradesh,9,122,Auraiya,162,6877,Ajitmal,0,07-10-2024
9,Uttar Pradesh,9,122,Auraiya,162,841,Bidhuna,841,07-10-2024
9,Uttar Pradesh,9,140,Ayodhya,177,902,Rudauli,902,07-10-2024
9,Uttar Pradesh,9,140,Ayodhya,177,904,Sohawal,904,07-10-2024
9,Uttar Pradesh,9,140,Ayodhya,177,905,Faizabad,905,07-10-2024
9,Uttar Pradesh,9,140,Ayodhya,177,906,Bikapur,906,07-10-2024
9,Uttar Pradesh,9,140,Ayodhya,177,903,Milkipur,903,07-10-2024
9,Uttar Pradesh,9,123,Azamgarh,191,964,Burhanpur,964,07-10-2024
9,Uttar Pradesh,9,123,Azamgarh,191,969,Lalganj,969,07-10-2024
9,Uttar Pradesh,9,123,Azamgarh,191,6165,Martinganjon,0,07-10-2024
9,Uttar Pradesh,9,123,Azamgarh,191,965,Sagri,965,07-10-2024
9,Uttar Pradesh,9,123,Azamgarh,191,966,Azamgarh,966,07-10-2024
