stateCode,stateNameEnglish,stateNameLocal,stateCensus2011Code,localBodyCode,localBodyNameEnglish,localBodyNameLocal,localBodyCensus2011Code,localBodyTypeCode,localBodyTypeName,entityCode,entityName,entityType,coverageType,date_updated
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,2092,Abhauli,ABHAULI,000000,2,Intermediate Panchayat,997,Bhadohi,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1834,Amroha,AMROHA,000000,2,Intermediate Panchayat,730,Amroha,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,2093,Aurai,AURAI,000000,2,Intermediate Panchayat,999,Aurai,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1961,Badraon,BADRAON,000000,2,Intermediate Panchayat,971,Ghosi,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1905,Bar,BAR,000000,2,Intermediate Panchayat,863,Mahroni,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,2199,Baragaon,BARAGAON,000000,2,Intermediate Panchayat,995,Pindra,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,2094,Bhadohi,BHADOHI,000000,2,Intermediate Panchayat,999,Aurai,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,296951,Bhagwatpur,BHAGWATPUR,000000,2,Intermediate Panchayat,890,Allahabad,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,277620,Bharohiya,Bharohiya,000000,2,Intermediate Panchayat,948,Campierganj,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1602,Bhawan Bahadur Nagar,BHAWAN BAHADUR NAGAR,000000,2,Intermediate Panchayat,746,Bulandshahr,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1858,Bhitargaon,BHITARGAON,000000,2,Intermediate Panchayat,850,Ghatampur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1478,Chitaura,CHITAURA,000000,2,Intermediate Panchayat,921,Bahraich,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,2095,Deegh,DEEGH,000000,2,Intermediate Panchayat,997,Bhadohi,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,2073,Deoband,DEOBAND,000000,2,Intermediate Panchayat,701,Behat,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,2000,Dilari,DILARI,000000,2,Intermediate Panchayat,718,Kanth,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1962,Dohri Ghat,DOHRI GHAT,000000,2,Intermediate Panchayat,971,Ghosi,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1963,Fatehpur Madaun,FATEHPUR MADAUN,000000,2,Intermediate Panchayat,971,Ghosi,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1700,Firozabad,FIROZABAD,000000,2,Intermediate Panchayat,772,Firozabad,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1836,Gajraula,GAJRAULA,000000,2,Intermediate Panchayat,729,Dhanaura,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1964,Ghosi,GHOSI,000000,2,Intermediate Panchayat,971,Ghosi,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1841,Gughrapur,GUGHRAPUR,000000,2,Intermediate Panchayat,833,Chhibramau,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1606,Gulaothi,GULAOTHI,000000,2,Intermediate Panchayat,746,Bulandshahr,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,2096,Gyanpur,GYANPUR,000000,2,Intermediate Panchayat,999,Aurai,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,2202,Harahua,HARAHUA,000000,2,Intermediate Panchayat,995,Pindra,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1670,Haringatanganj,HARINGATANGANJ,000000,2,Intermediate Panchayat,906,Bikapur,Subistrict,Partial,2024-10-14 08:43:46
