match_status,match_method,match_score,review_reason,db_id,db_state_name,db_district_name,db_state_lgd_code,db_district_lgd_code,db_source,lgd_state_name,lgd_district_name,lgd_state_lgd_code,lgd_district_lgd_code,lgd_source
auto,exact_name,1.000,State and district names match exactly after normalization.,478,Kerala,Alappuzha,,,manual_pilot,Kerala,Alappuzha,32,554,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,113,Uttar Pradesh,Ambedkar Nagar,,,manual_pilot,Uttar Pradesh,Ambedkar Nagar,9,121,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,583,Punjab,Amritsar,,,manual_pilot,Punjab,Amritsar,3,27,lgd
auto,fuzzy_high,0.933,High similarity within the same state.,354,Gujarat,Aravalli,,,manual_pilot,Gujarat,Arvalli,24,672,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,276,Bihar,Arwal,,,manual_pilot,Bihar,Arwal,10,611,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,277,Bihar,Aurangabad,,,manual_pilot,Bihar,Aurangabad,10,189,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,121,Uttar Pradesh,Bahraich,,,manual_pilot,Uttar Pradesh,Bahraich,9,125,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,314,Chhattisgarh,Balod,,,manual_pilot,Chhattisgarh,Balod,22,646,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,123,Uttar Pradesh,Balrampur,,,manual_pilot,Uttar Pradesh,Balrampur,9,127,lgd
review,fuzzy_review,0.900,Possible match; needs manual review.,316,Chhattisgarh,Balrampur,,,manual_pilot,Chhattisgarh,Balrampur-Ramanujganj,22,649,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,808,Jammu and Kashmir,Bandipora,,,manual_pilot,Jammu And Kashmir,Bandipora,1,623,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,24,Maharashtra,Beed,,,manual_pilot,Maharashtra,Beed,27,470,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,318,Chhattisgarh,Bemetara,,,manual_pilot,Chhattisgarh,Bemetara,22,650,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,450,Karnataka,Bengaluru Urban,,,manual_pilot,Karnataka,Bengaluru Urban,29,525,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,128,Uttar Pradesh,Bhadohi,,,manual_pilot,Uttar Pradesh,Bhadohi,9,179,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,25,Maharashtra,Bhandara,,,manual_pilot,Maharashtra,Bhandara,27,471,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,62,Madhya Pradesh,Bhind,,,manual_pilot,Madhya Pradesh,Bhind,23,395,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,319,Chhattisgarh,Bijapur,,,manual_pilot,Chhattisgarh,Bijapur,22,636,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,358,Gujarat,Botad,,,manual_pilot,Gujarat,Botad,24,676,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,749,Uttarakhand,Chamoli,,,manual_pilot,Uttarakhand,Chamoli,5,47,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,131,Uttar Pradesh,Chandauli,,,manual_pilot,Uttar Pradesh,Chandauli,9,135,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,494,Manipur,Chandel,,,manual_pilot,Manipur,Chandel,14,253,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,27,Maharashtra,Chandrapur,,,manual_pilot,Maharashtra,Chandrapur,27,473,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,65,Madhya Pradesh,Chhatarpur,,,manual_pilot,Madhya Pradesh,Chhatarpur,23,398,lgd
auto,canonical_name,1.000,Names match after canonical district-name cleanup.,359,Gujarat,Chhota Udaipur,,,manual_pilot,Gujarat,Chhotaudepur,24,668,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,360,Gujarat,Dahod,,,manual_pilot,Gujarat,Dahod,24,445,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,765,West Bengal,Dakshin Dinajpur,,,manual_pilot,West Bengal,Dakshin Dinajpur,19,310,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,67,Madhya Pradesh,Damoh,,,manual_pilot,Madhya Pradesh,Damoh,23,400,lgd
review,fuzzy_review,0.889,Possible match; needs manual review.,361,Gujarat,Dang,,,manual_pilot,Gujarat,Dangs,24,444,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,766,West Bengal,Darjeeling,,,manual_pilot,West Bengal,Darjeeling,19,309,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,457,Karnataka,Davangere,,,manual_pilot,Karnataka,Davangere,29,535,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,738,Tripura,Dhalai,,,manual_pilot,Tripura,Dhalai,16,269,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,560,Odisha,Dhenkanal,,,manual_pilot,Odisha,Dhenkanal,21,352,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,71,Madhya Pradesh,Dindori,,,manual_pilot,Madhya Pradesh,Dindori,23,404,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,625,Rajasthan,Dudu,,,manual_pilot,Rajasthan,Dudu,8,769,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,511,Meghalaya,East Jaintia Hills,,,manual_pilot,Meghalaya,East Jaintia Hills,17,657,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,194,Andhra Pradesh,Eluru,,,manual_pilot,Andhra Pradesh,Eluru,28,748,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,672,Tamil Nadu,Erode,,,manual_pilot,Tamil Nadu,Erode,33,573,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,588,Punjab,Fazilka,,,manual_pilot,Punjab,Fazilka,3,651,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,589,Punjab,Ferozepur,,,manual_pilot,Punjab,Ferozepur,3,31,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,363,Gujarat,Gandhinagar,,,manual_pilot,Gujarat,Gandhinagar,24,446,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,427,Jharkhand,Garhwa,,,manual_pilot,Jharkhand,Garhwa,20,328,lgd
auto,canonical_name,1.000,Names match after canonical district-name cleanup.,324,Chhattisgarh,Gariaband,,,manual_pilot,Chhattisgarh,Gariyaband,22,645,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,285,Bihar,Gaya,,,manual_pilot,Bihar,Gaya,10,196,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,739,Tripura,Gomati,,,manual_pilot,Tripura,Gomati,16,654,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,430,Jharkhand,Gumla,,,manual_pilot,Jharkhand,Gumla,20,331,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,410,Himachal Pradesh,Hamirpur,,,manual_pilot,Himachal Pradesh,Hamirpur,2,17,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,706,Telangana,Hanumakonda,,,manual_pilot,Telangana,Hanumakonda,36,686,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,74,Madhya Pradesh,Harda,,,manual_pilot,Madhya Pradesh,Harda,23,408,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,752,Uttarakhand,Haridwar,,,manual_pilot,Uttarakhand,Haridwar,5,50,lgd
auto,exact_name,1.000,State and district names match exactly after normalization.,460,Karnataka,Hassan,,,manual_pilot,Karnataka,Hassan,29,539,lgd
