state,unique_google_place_ids,high_confidence_shiva,medium_confidence_shiva_candidates,low_confidence_possible_temples
Andaman and Nicobar Islands,69,59,1,9
Andhra Pradesh,2181,700,142,1339
Arunachal Pradesh,662,343,3,316
Assam,3035,1887,140,1008
Bihar,5241,3394,514,1333
Chandigarh,69,19,4,46
Chhattisgarh,3225,2002,224,999
Dadra and Nagar Haveli and Daman and Diu,147,92,8,47
Delhi,824,633,83,108
Goa,220,106,61,53
Gujarat,4341,3135,283,923
Haryana,2899,1834,150,915
Himachal Pradesh,1197,851,65,281
Jammu and Kashmir,1182,664,54,464
Jharkhand,2820,1923,158,739
Karnataka,3704,1454,1306,944
Kerala,1661,767,93,801
Ladakh,151,110,10,31
Lakshadweep,2,2,0,0
Madhya Pradesh,2494,1516,201,777
Maharashtra,4784,2936,886,962
Manipur,404,83,15,306
Meghalaya,540,416,35,89
Mizoram,138,88,3,47
Nagaland,251,137,7,107
Odisha,3371,2096,289,986
Puducherry,138,17,11,110
Punjab,2214,1321,97,796
Rajasthan,5345,3640,242,1463
Sikkim,79,55,2,22
Tamil Nadu,4029,962,652,2415
Telangana,3118,1511,377,1230
Tripura,632,368,41,223
Uttar Pradesh,8493,5727,887,1879
Uttarakhand,1452,900,153,399
West Bengal,3005,2129,169,707
