id,name,normalized_name,location_type,parent_id,state_name,district_name,sub_district_name,state_lgd_code,district_lgd_code,sub_district_lgd_code,village_lgd_code,source,full_path,search_priority,is_active,created_at,updated_at
2,Pune,pune,district,1,Maharashtra,Pune,,,,,,manual_pilot,Maharashtra > Pune,20,True,2026-05-05 13:23:21.984310+05:30,2026-05-07 20:18:55.862663+05:30
6,Nashik,nashik,district,1,Maharashtra,Nashik,,,,,,manual_pilot,Maharashtra > Nashik,20,True,2026-05-05 15:11:04.431538+05:30,2026-05-07 20:18:55.862663+05:30
7,Aurangabad,aurangabad,district,1,Maharashtra,Aurangabad,,,,,,manual_pilot,Maharashtra > Aurangabad,20,True,2026-05-05 15:11:04.431538+05:30,2026-05-07 20:18:55.862663+05:30
8,Ahmednagar,ahmednagar,district,1,Maharashtra,Ahmednagar,,,,,,manual_pilot,Maharashtra > Ahmednagar,20,True,2026-05-05 15:11:04.431538+05:30,2026-05-07 20:18:55.862663+05:30
22,Akola,akola,district,1,Maharashtra,Akola,,,,,,manual_pilot,Maharashtra > Akola,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
23,Amravati,amravati,district,1,Maharashtra,Amravati,,,,,,manual_pilot,Maharashtra > Amravati,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
24,Beed,beed,district,1,Maharashtra,Beed,,,,,,manual_pilot,Maharashtra > Beed,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
25,Bhandara,bhandara,district,1,Maharashtra,Bhandara,,,,,,manual_pilot,Maharashtra > Bhandara,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
26,Buldhana,buldhana,district,1,Maharashtra,Buldhana,,,,,,manual_pilot,Maharashtra > Buldhana,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
27,Chandrapur,chandrapur,district,1,Maharashtra,Chandrapur,,,,,,manual_pilot,Maharashtra > Chandrapur,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
28,Dhule,dhule,district,1,Maharashtra,Dhule,,,,,,manual_pilot,Maharashtra > Dhule,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
29,Gadchiroli,gadchiroli,district,1,Maharashtra,Gadchiroli,,,,,,manual_pilot,Maharashtra > Gadchiroli,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
30,Gondia,gondia,district,1,Maharashtra,Gondia,,,,,,manual_pilot,Maharashtra > Gondia,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
31,Hingoli,hingoli,district,1,Maharashtra,Hingoli,,,,,,manual_pilot,Maharashtra > Hingoli,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
32,Jalgaon,jalgaon,district,1,Maharashtra,Jalgaon,,,,,,manual_pilot,Maharashtra > Jalgaon,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
33,Jalna,jalna,district,1,Maharashtra,Jalna,,,,,,manual_pilot,Maharashtra > Jalna,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
34,Kolhapur,kolhapur,district,1,Maharashtra,Kolhapur,,,,,,manual_pilot,Maharashtra > Kolhapur,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
35,Latur,latur,district,1,Maharashtra,Latur,,,,,,manual_pilot,Maharashtra > Latur,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
36,Mumbai City,mumbai city,district,1,Maharashtra,Mumbai City,,,,,,manual_pilot,Maharashtra > Mumbai City,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
37,Mumbai Suburban,mumbai suburban,district,1,Maharashtra,Mumbai Suburban,,,,,,manual_pilot,Maharashtra > Mumbai Suburban,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
38,Nagpur,nagpur,district,1,Maharashtra,Nagpur,,,,,,manual_pilot,Maharashtra > Nagpur,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
39,Nanded,nanded,district,1,Maharashtra,Nanded,,,,,,manual_pilot,Maharashtra > Nanded,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
40,Nandurbar,nandurbar,district,1,Maharashtra,Nandurbar,,,,,,manual_pilot,Maharashtra > Nandurbar,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
41,Osmanabad,osmanabad,district,1,Maharashtra,Osmanabad,,,,,,manual_pilot,Maharashtra > Osmanabad,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
42,Palghar,palghar,district,1,Maharashtra,Palghar,,,,,,manual_pilot,Maharashtra > Palghar,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
43,Parbhani,parbhani,district,1,Maharashtra,Parbhani,,,,,,manual_pilot,Maharashtra > Parbhani,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
44,Raigad,raigad,district,1,Maharashtra,Raigad,,,,,,manual_pilot,Maharashtra > Raigad,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
45,Ratnagiri,ratnagiri,district,1,Maharashtra,Ratnagiri,,,,,,manual_pilot,Maharashtra > Ratnagiri,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
46,Sangli,sangli,district,1,Maharashtra,Sangli,,,,,,manual_pilot,Maharashtra > Sangli,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
47,Satara,satara,district,1,Maharashtra,Satara,,,,,,manual_pilot,Maharashtra > Satara,20,True,2026-05-05 16:21:10.141099+05:30,2026-05-07 20:18:55.862663+05:30
