id,state_name,district_name,name,state_lgd_code,district_lgd_code,source,is_active
785,Andaman and Nicobar Islands,Nicobar,Nicobar,,,manual_pilot,True
787,Andaman and Nicobar Islands,South Andaman,South Andaman,,,manual_pilot,True
189,Andhra Pradesh,Anantapur,Anantapur,,,manual_pilot,True
197,Andhra Pradesh,Konaseema,Konaseema,,,manual_pilot,True
212,Andhra Pradesh,Y.S.R. Kadapa,Y.S.R. Kadapa,,,manual_pilot,True
219,Arunachal Pradesh,Itanagar Capital Complex,Itanagar Capital Complex,,,manual_pilot,True
223,Arunachal Pradesh,Lepa Rada,Lepa Rada,,,manual_pilot,True
259,Assam,Kamrup Metropolitan,Kamrup Metropolitan,,,manual_pilot,True
265,Assam,Morigaon,Morigaon,,,manual_pilot,True
270,Assam,South Salmara-Mankachar,South Salmara-Mankachar,,,manual_pilot,True
284,Bihar,East Champaran,East Champaran,,,manual_pilot,True
289,Bihar,Kaimur,Kaimur,,,manual_pilot,True
312,Bihar,West Champaran,West Champaran,,,manual_pilot,True
315,Chhattisgarh,Baloda Bazar,Baloda Bazar,,,manual_pilot,True
316,Chhattisgarh,Balrampur,Balrampur,,,manual_pilot,True
321,Chhattisgarh,Dantewada,Dantewada,,,manual_pilot,True
324,Chhattisgarh,Gariaband,Gariaband,,,manual_pilot,True
325,Chhattisgarh,Gaurella-Pendra-Marwahi,Gaurella-Pendra-Marwahi,,,manual_pilot,True
328,Chhattisgarh,Kabirdham,Kabirdham,,,manual_pilot,True
329,Chhattisgarh,Kanker,Kanker,,,manual_pilot,True
332,Chhattisgarh,Koriya,Koriya,,,manual_pilot,True
334,Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,Manendragarh-Chirmiri-Bharatpur,,,manual_pilot,True
335,Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,Mohla-Manpur-Ambagarh Chowki,,,manual_pilot,True
791,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Dadra and Nagar Haveli,,,manual_pilot,True
792,Dadra and Nagar Haveli and Daman and Diu,Daman,Daman,,,manual_pilot,True
793,Dadra and Nagar Haveli and Daman and Diu,Diu,Diu,,,manual_pilot,True
795,Delhi,Central Delhi,Central Delhi,,,manual_pilot,True
796,Delhi,East Delhi,East Delhi,,,manual_pilot,True
798,Delhi,North Delhi,North Delhi,,,manual_pilot,True
799,Delhi,North East Delhi,North East Delhi,,,manual_pilot,True
800,Delhi,North West Delhi,North West Delhi,,,manual_pilot,True
