match_status,match_method,match_score,review_reason,db_id,db_state_name,db_district_name,db_state_lgd_code,db_district_lgd_code,db_source,lgd_state_name,lgd_district_name,lgd_state_lgd_code,lgd_district_lgd_code,lgd_source
auto,code,1.000,District LGD code already matches.,478,Kerala,Alappuzha,32,554,lgd,Kerala,Alappuzha,32,554,lgd
auto,code,1.000,District LGD code already matches.,113,Uttar Pradesh,Ambedkar Nagar,9,121,lgd,Uttar Pradesh,Ambedkar Nagar,9,121,lgd
auto,code,1.000,District LGD code already matches.,583,Punjab,Amritsar,3,27,lgd,Punjab,Amritsar,3,27,lgd
auto,code,1.000,District LGD code already matches.,354,Gujarat,Arvalli,24,672,lgd,Gujarat,Arvalli,24,672,lgd
auto,code,1.000,District LGD code already matches.,276,Bihar,Arwal,10,611,lgd,Bihar,Arwal,10,611,lgd
auto,code,1.000,District LGD code already matches.,277,Bihar,Aurangabad,10,189,lgd,Bihar,Aurangabad,10,189,lgd
auto,code,1.000,District LGD code already matches.,121,Uttar Pradesh,Bahraich,9,125,lgd,Uttar Pradesh,Bahraich,9,125,lgd
auto,code,1.000,District LGD code already matches.,314,Chhattisgarh,Balod,22,646,lgd,Chhattisgarh,Balod,22,646,lgd
auto,code,1.000,District LGD code already matches.,123,Uttar Pradesh,Balrampur,9,127,lgd,Uttar Pradesh,Balrampur,9,127,lgd
auto,canonical_name,1.000,Names match after canonical district-name cleanup.,316,Chhattisgarh,Balrampur,,,manual_pilot,Chhattisgarh,Balrampur-Ramanujganj,22,649,lgd
auto,code,1.000,District LGD code already matches.,808,Jammu And Kashmir,Bandipora,1,623,lgd,Jammu And Kashmir,Bandipora,1,623,lgd
auto,code,1.000,District LGD code already matches.,24,Maharashtra,Beed,27,470,lgd,Maharashtra,Beed,27,470,lgd
auto,code,1.000,District LGD code already matches.,318,Chhattisgarh,Bemetara,22,650,lgd,Chhattisgarh,Bemetara,22,650,lgd
auto,code,1.000,District LGD code already matches.,450,Karnataka,Bengaluru Urban,29,525,lgd,Karnataka,Bengaluru Urban,29,525,lgd
auto,code,1.000,District LGD code already matches.,128,Uttar Pradesh,Bhadohi,9,179,lgd,Uttar Pradesh,Bhadohi,9,179,lgd
auto,code,1.000,District LGD code already matches.,25,Maharashtra,Bhandara,27,471,lgd,Maharashtra,Bhandara,27,471,lgd
auto,code,1.000,District LGD code already matches.,62,Madhya Pradesh,Bhind,23,395,lgd,Madhya Pradesh,Bhind,23,395,lgd
auto,code,1.000,District LGD code already matches.,319,Chhattisgarh,Bijapur,22,636,lgd,Chhattisgarh,Bijapur,22,636,lgd
auto,code,1.000,District LGD code already matches.,358,Gujarat,Botad,24,676,lgd,Gujarat,Botad,24,676,lgd
auto,code,1.000,District LGD code already matches.,749,Uttarakhand,Chamoli,5,47,lgd,Uttarakhand,Chamoli,5,47,lgd
auto,code,1.000,District LGD code already matches.,131,Uttar Pradesh,Chandauli,9,135,lgd,Uttar Pradesh,Chandauli,9,135,lgd
auto,code,1.000,District LGD code already matches.,494,Manipur,Chandel,14,253,lgd,Manipur,Chandel,14,253,lgd
auto,code,1.000,District LGD code already matches.,27,Maharashtra,Chandrapur,27,473,lgd,Maharashtra,Chandrapur,27,473,lgd
auto,code,1.000,District LGD code already matches.,65,Madhya Pradesh,Chhatarpur,23,398,lgd,Madhya Pradesh,Chhatarpur,23,398,lgd
auto,code,1.000,District LGD code already matches.,359,Gujarat,Chhotaudepur,24,668,lgd,Gujarat,Chhotaudepur,24,668,lgd
auto,code,1.000,District LGD code already matches.,360,Gujarat,Dahod,24,445,lgd,Gujarat,Dahod,24,445,lgd
auto,code,1.000,District LGD code already matches.,765,West Bengal,Dakshin Dinajpur,19,310,lgd,West Bengal,Dakshin Dinajpur,19,310,lgd
auto,code,1.000,District LGD code already matches.,67,Madhya Pradesh,Damoh,23,400,lgd,Madhya Pradesh,Damoh,23,400,lgd
auto,canonical_name,1.000,Names match after canonical district-name cleanup.,361,Gujarat,Dang,,,manual_pilot,Gujarat,Dangs,24,444,lgd
auto,code,1.000,District LGD code already matches.,766,West Bengal,Darjeeling,19,309,lgd,West Bengal,Darjeeling,19,309,lgd
