state,district,unique_google_place_ids,high_confidence_shiva,medium_confidence_shiva_candidates,low_confidence_possible_temples
Andaman and Nicobar Islands,Nicobar,8,6,0,2
Andaman and Nicobar Islands,North and Middle Andaman,16,16,0,0
Andaman and Nicobar Islands,South Andaman,45,37,1,7
Andhra Pradesh,Alluri Sitharama Raju,94,31,2,61
Andhra Pradesh,Anakapalli,97,20,3,74
Andhra Pradesh,Anantapur,40,8,4,28
Andhra Pradesh,Annamayya,15,0,0,15
Andhra Pradesh,Bapatla,53,18,3,32
Andhra Pradesh,Chittoor,95,35,8,52
Andhra Pradesh,East Godavari,56,20,2,34
Andhra Pradesh,Eluru,60,9,2,49
Andhra Pradesh,Guntur,81,20,6,55
Andhra Pradesh,Kakinada,34,3,1,30
Andhra Pradesh,Konaseema,18,1,0,17
Andhra Pradesh,Krishna,83,31,5,47
Andhra Pradesh,Kurnool,84,33,7,44
Andhra Pradesh,Nandyal,42,2,4,36
Andhra Pradesh,NTR,49,8,1,40
Andhra Pradesh,Palnadu,97,42,2,53
Andhra Pradesh,Parvathipuram Manyam,73,41,4,28
Andhra Pradesh,Prakasam,127,44,13,70
Andhra Pradesh,Sri Potti Sriramulu Nellore,113,40,7,66
Andhra Pradesh,Sri Sathya Sai,20,2,1,17
Andhra Pradesh,Srikakulam,114,60,8,46
Andhra Pradesh,Tirupati,154,41,14,99
Andhra Pradesh,Visakhapatnam,100,31,7,62
Andhra Pradesh,Vizianagaram,129,47,7,75
Andhra Pradesh,West Godavari,205,67,13,125
Andhra Pradesh,Y.S.R. Kadapa,148,46,18,84
Arunachal Pradesh,Anjaw,23,3,0,20
Arunachal Pradesh,Changlang,53,25,0,28
Arunachal Pradesh,Dibang Valley,2,0,0,2
Arunachal Pradesh,East Kameng,18,13,0,5
Arunachal Pradesh,Kamle,37,15,0,22
Arunachal Pradesh,Kra Daadi,4,0,0,4
Arunachal Pradesh,Kurung Kumey,3,3,0,0
Arunachal Pradesh,Lepa Rada,26,2,0,24
Arunachal Pradesh,Lohit,8,2,0,6
Arunachal Pradesh,Longding,19,7,1,11
Arunachal Pradesh,Lower Dibang Valley,20,17,0,3
Arunachal Pradesh,Lower Siang,30,26,0,4
Arunachal Pradesh,Lower Subansiri,1,0,0,1
Arunachal Pradesh,Namsai,73,41,0,32
Arunachal Pradesh,Pakke Kessang,58,13,0,45
Arunachal Pradesh,Papum Pare,93,49,0,44
Arunachal Pradesh,Shi Yomi,2,1,0,1
Arunachal Pradesh,Siang,18,2,0,16
Arunachal Pradesh,Tawang,5,0,0,5
Arunachal Pradesh,Tirap,68,33,2,33
Arunachal Pradesh,Upper Siang,9,9,0,0
Arunachal Pradesh,Upper Subansiri,23,22,0,1
Arunachal Pradesh,West Kameng,49,45,0,4
Arunachal Pradesh,West Siang,20,15,0,5
Assam,Bajali,20,8,1,11
Assam,Baksa,135,89,1,45
Assam,Barpeta,117,73,1,43
Assam,Biswanath,87,71,3,13
Assam,Bongaigaon,60,25,4,31
Assam,Cachar,112,75,6,31
Assam,Charaideo,60,33,1,26
Assam,Chirang,135,84,1,50
Assam,Darrang,105,70,2,33
Assam,Dhemaji,47,26,1,20
Assam,Dhubri,81,38,3,40
Assam,Dibrugarh,96,58,1,37
Assam,Dima Hasao,76,53,2,21
Assam,Goalpara,49,37,0,12
Assam,Golaghat,83,66,0,17
Assam,Hailakandi,91,49,7,35
Assam,Hojai,19,14,0,5
Assam,Jorhat,55,23,2,30
Assam,Kamrup,43,31,1,11
Assam,Kamrup Metropolitan,97,71,7,19
Assam,Karbi Anglong,77,38,5,34
Assam,Karimganj,152,80,5,67
Assam,Kokrajhar,72,24,4,44
Assam,Lakhimpur,116,83,3,30
Assam,Majuli,114,62,6,46
Assam,Morigaon,73,35,4,34
Assam,Nagaon,89,64,3,22
Assam,Nalbari,116,75,11,30
Assam,Sivasagar,86,51,3,32
Assam,Sonitpur,138,89,17,32
Assam,South Salmara-Mankachar,9,5,0,4
Assam,Tamulpur,82,42,15,25
Assam,Tinsukia,141,104,3,34
Assam,Udalguri,112,71,8,33
Assam,West Karbi Anglong,90,70,9,11
Bihar,Araria,140,74,6,60
Bihar,Arwal,152,90,7,55
Bihar,Aurangabad,137,109,8,20
Bihar,Banka,61,46,4,11
Bihar,Begusarai,179,87,2,90
Bihar,Bhagalpur,133,91,12,30
Bihar,Bhojpur,156,128,14,14
Bihar,Buxar,155,105,24,26
Bihar,Darbhanga,135,84,9,42
Bihar,East Champaran,96,80,1,15
Bihar,Jamui,163,105,13,45
Bihar,Jehanabad,148,91,10,47
Bihar,Kaimur,160,105,16,39
Bihar,Katihar,144,72,4,68
Bihar,Khagaria,116,73,1,42
Bihar,Kishanganj,97,73,4,20
