location_type,name,state_name,district_name,sub_district_name,state_lgd_code,district_lgd_code,sub_district_lgd_code,village_lgd_code,source
district,Alappuzha,Kerala,Alappuzha,,32,554,,,lgd
district,Ambedkar Nagar,Uttar Pradesh,Ambedkar Nagar,,9,121,,,lgd
district,Amritsar,Punjab,Amritsar,,3,27,,,lgd
district,Arvalli,Gujarat,Arvalli,,24,672,,,lgd
district,Arwal,Bihar,Arwal,,10,611,,,lgd
district,Aurangabad,Bihar,Aurangabad,,10,189,,,lgd
district,Bahraich,Uttar Pradesh,Bahraich,,9,125,,,lgd
district,Balod,Chhattisgarh,Balod,,22,646,,,lgd
district,Balrampur,Uttar Pradesh,Balrampur,,9,127,,,lgd
district,Balrampur-Ramanujganj,Chhattisgarh,Balrampur-Ramanujganj,,22,649,,,lgd
district,Bandipora,Jammu And Kashmir,Bandipora,,1,623,,,lgd
district,Beed,Maharashtra,Beed,,27,470,,,lgd
district,Bemetara,Chhattisgarh,Bemetara,,22,650,,,lgd
district,Bengaluru Urban,Karnataka,Bengaluru Urban,,29,525,,,lgd
district,Bhadohi,Uttar Pradesh,Bhadohi,,9,179,,,lgd
district,Bhandara,Maharashtra,Bhandara,,27,471,,,lgd
district,Bhind,Madhya Pradesh,Bhind,,23,395,,,lgd
district,Bijapur,Chhattisgarh,Bijapur,,22,636,,,lgd
district,Botad,Gujarat,Botad,,24,676,,,lgd
district,Chamoli,Uttarakhand,Chamoli,,5,47,,,lgd
district,Chandauli,Uttar Pradesh,Chandauli,,9,135,,,lgd
district,Chandel,Manipur,Chandel,,14,253,,,lgd
district,Chandrapur,Maharashtra,Chandrapur,,27,473,,,lgd
district,Chhatarpur,Madhya Pradesh,Chhatarpur,,23,398,,,lgd
district,Chhotaudepur,Gujarat,Chhotaudepur,,24,668,,,lgd
district,Dahod,Gujarat,Dahod,,24,445,,,lgd
district,Dakshin Dinajpur,West Bengal,Dakshin Dinajpur,,19,310,,,lgd
district,Damoh,Madhya Pradesh,Damoh,,23,400,,,lgd
district,Dangs,Gujarat,Dangs,,24,444,,,lgd
district,Darjeeling,West Bengal,Darjeeling,,19,309,,,lgd
district,Davangere,Karnataka,Davangere,,29,535,,,lgd
district,Dhalai,Tripura,Dhalai,,16,269,,,lgd
district,Dhenkanal,Odisha,Dhenkanal,,21,352,,,lgd
district,Dindori,Madhya Pradesh,Dindori,,23,404,,,lgd
district,Dudu,Rajasthan,Dudu,,8,769,,,lgd
district,East Jaintia Hills,Meghalaya,East Jaintia Hills,,17,657,,,lgd
district,Eluru,Andhra Pradesh,Eluru,,28,748,,,lgd
district,Erode,Tamil Nadu,Erode,,33,573,,,lgd
district,Fazilka,Punjab,Fazilka,,3,651,,,lgd
district,Ferozepur,Punjab,Ferozepur,,3,31,,,lgd
district,Gandhinagar,Gujarat,Gandhinagar,,24,446,,,lgd
district,Garhwa,Jharkhand,Garhwa,,20,328,,,lgd
district,Gariyaband,Chhattisgarh,Gariyaband,,22,645,,,lgd
district,Gaya,Bihar,Gaya,,10,196,,,lgd
district,Gomati,Tripura,Gomati,,16,654,,,lgd
district,Gumla,Jharkhand,Gumla,,20,331,,,lgd
district,Hamirpur,Himachal Pradesh,Hamirpur,,2,17,,,lgd
district,Hanumakonda,Telangana,Hanumakonda,,36,686,,,lgd
district,Harda,Madhya Pradesh,Harda,,23,408,,,lgd
district,Haridwar,Uttarakhand,Haridwar,,5,50,,,lgd
district,Hassan,Karnataka,Hassan,,29,539,,,lgd
district,Jagatsinghapur,Odisha,Jagatsinghapur,,21,355,,,lgd
district,Jaipur,Rajasthan,Jaipur,,8,102,,,lgd
district,Jalore,Rajasthan,Jalore,,8,104,,,lgd
district,Jalpaiguri,West Bengal,Jalpaiguri,,19,314,,,lgd
district,Jayashankar Bhupalapally,Telangana,Jayashankar Bhupalapally,,36,687,,,lgd
district,Jhalawar,Rajasthan,Jhalawar,,8,105,,,lgd
district,Jhansi,Uttar Pradesh,Jhansi,,9,153,,,lgd
district,Jharsuguda,Odisha,Jharsuguda,,21,357,,,lgd
district,Kabeerdham,Chhattisgarh,Kabeerdham,,22,382,,,lgd
district,Kalimpong,West Bengal,Kalimpong,,19,702,,,lgd
district,Kanpur Dehat,Uttar Pradesh,Kanpur Dehat,,9,156,,,lgd
district,Karauli,Rajasthan,Karauli,,8,108,,,lgd
district,Karimnagar,Telangana,Karimnagar,,36,508,,,lgd
district,Katihar,Bihar,Katihar,,10,201,,,lgd
district,Kendrapara,Odisha,Kendrapara,,21,360,,,lgd
district,Khargone (West Nimar),Madhya Pradesh,Khargone (West Nimar),,23,414,,,lgd
district,Kheda,Gujarat,Kheda,,24,450,,,lgd
district,Kheri,Uttar Pradesh,Kheri,,9,159,,,lgd
district,Khowai,Tripura,Khowai,,16,652,,,lgd
district,Khunti,Jharkhand,Khunti,,20,606,,,lgd
district,Kishtwar,Jammu And Kashmir,Kishtwar,,1,620,,,lgd
district,Kolasib,Mizoram,Kolasib,,15,263,,,lgd
district,Kolkata,West Bengal,Kolkata,,19,315,,,lgd
district,Kollam,Kerala,Kollam,,32,559,,,lgd
district,Kota,Rajasthan,Kota,,8,109,,,lgd
district,Kushinagar,Uttar Pradesh,Kushinagar,,9,160,,,lgd
district,Lakshadweep District,Lakshadweep,Lakshadweep District,,31,553,,,lgd
district,Lalitpur,Uttar Pradesh,Lalitpur,,9,161,,,lgd
district,Latehar,Jharkhand,Latehar,,20,335,,,lgd
district,Lohit,Arunachal Pradesh,Lohit,,12,234,,,lgd
district,Longleng,Nagaland,Longleng,,13,615,,,lgd
district,Madhubani,Bihar,Madhubani,,10,206,,,lgd
district,Madurai,Tamil Nadu,Madurai,,33,578,,,lgd
district,Mahendragarh,Haryana,Mahendragarh,,6,69,,,lgd
district,Mahisagar,Gujarat,Mahisagar,,24,669,,,lgd
district,Maihar,Madhya Pradesh,Maihar,,23,784,,,lgd
district,Mainpuri,Uttar Pradesh,Mainpuri,,9,166,,,lgd
district,Majuli,Assam,Majuli,,18,706,,,lgd
district,Malappuram,Kerala,Malappuram,,32,562,,,lgd
district,Malda,West Bengal,Malda,,19,316,,,lgd
district,Malkangiri,Odisha,Malkangiri,,21,364,,,lgd
district,Mancherial,Telangana,Mancherial,,36,684,,,lgd
district,Mau,Uttar Pradesh,Mau,,9,168,,,lgd
district,Mon,Nagaland,Mon,,13,247,,,lgd
district,Mulugu,Telangana,Mulugu,,36,720,,,lgd
district,Munger,Bihar,Munger,,10,207,,,lgd
district,Mysuru,Karnataka,Mysuru,,29,545,,,lgd
district,Nagapattinam,Tamil Nadu,Nagapattinam,,33,579,,,lgd
district,Nagpur,Maharashtra,Nagpur,,27,484,,,lgd
district,Nainital,Uttarakhand,Nainital,,5,51,,,lgd
district,Narmadapuram,Madhya Pradesh,Narmadapuram,,23,409,,,lgd
district,Nashik,Maharashtra,Nashik,,27,487,,,lgd
district,Navsari,Gujarat,Navsari,,24,453,,,lgd
district,Noney,Manipur,Noney,,14,714,,,lgd
district,North East,Delhi,North East,,7,81,,,lgd
district,North Tripura,Tripura,North Tripura,,16,270,,,lgd
district,Ntr,Andhra Pradesh,Ntr,,28,749,,,lgd
district,Palakkad,Kerala,Palakkad,,32,563,,,lgd
district,Palamu,Jharkhand,Palamu,,20,338,,,lgd
district,Palghar,Maharashtra,Palghar,,27,665,,,lgd
district,Panchkula,Haryana,Panchkula,,6,70,,,lgd
district,Panipat,Haryana,Panipat,,6,71,,,lgd
district,Parvathipuram Manyam,Andhra Pradesh,Parvathipuram Manyam,,28,743,,,lgd
district,Pathankot,Punjab,Pathankot,,3,662,,,lgd
district,Pithoragarh,Uttarakhand,Pithoragarh,,5,53,,,lgd
district,Purbi Champaran,Bihar,Purbi Champaran,,10,213,,,lgd
district,Puri,Odisha,Puri,,21,369,,,lgd
district,Raisen,Madhya Pradesh,Raisen,,23,421,,,lgd
district,Ranga Reddy,Telangana,Ranga Reddy,,36,518,,,lgd
district,Reasi,Jammu And Kashmir,Reasi,,1,627,,,lgd
district,Sagar,Madhya Pradesh,Sagar,,23,425,,,lgd
district,Samastipur,Bihar,Samastipur,,10,217,,,lgd
district,Sangrur,Punjab,Sangrur,,3,43,,,lgd
